"lemma"	"id"	"def"	"pl"
"āpūray"	"167468"	"to fill ; to inhale"	"X"
"aṅgadin"	"175409"	"wearing a bracelet"	"X"
"rāj"	"157329"	"to reign ; to be king or chief ; to rule over (gen.) ; to direct ; to govern (acc.) ; to be illustrious or resplendent ; to shine ; to glitter ; to appear as or like (iva)"	"X"
"jvalana"	"95438"	"fire ; the number 3 ; corrosive alkali ; Plumbago zeylanica"	"X"
"pṛṣṭhagopa"	"149985"	"one who guards or protects the rear of a tighting warrior"	"X"
"durviṣaha"	"85779"	"name of Śiva ; name of a son of Dhṛtarāṣṭra"	"X"
"durmukha"	"85668"	"a horse ; a serpent ; name of the 29th year of the cycle of Jupiter (lasting 60 years) ; name of a prince of the Pañcālas ; name of a son of Dhṛtarāṣṭra ; name of an astronomer ; name of a serpent-demon ; name of a Rakṣas ; name of a Yakṣa ; name of a monkey ; name of a general of the Asura Mahisha ; name of a son of Suhotra"	"X"
"duḥsaha"	"85082"	"name an evil demon ; name of a son of Dhṛtarāṣṭra ; name of Purukutsa ; name of the husband of Alakṣmī"	"X"
"satyavrata"	"16778"	"name of a Rājarshi ; name of Manu Vaivasvata ; name of a son of Dhṛtarāṣṭra ; name of a son of Devadatta ; name of a son of Trayyāruṇa ; name of the author of a Dharmaśāstra ; name of the Kṣatriyas in Śākadvīpa ; name of a class of supernatural beings attending on Satyasena"	"X"
"śala"	"131033"	"a staff ; a dart ; spear ; a kind of animal ; = kṣetrabhid ; = vidhi ; name of Bhṛṅgi (one of Śiva's attendants) ; name of Brahmā ; name of a serpent-demon ; name of a son of Dhṛtarāṣṭra ; name of a son of Somadatta ; name of a son of Parīkṣit ; name of a son of Śunahotra"	"X"
"anuyāyin"	"11185"	"going after ; a follower ; a dependant ; attendant ; following ; consequent upon"	"X"
"abhīṣāha"	"31023"	"name of a people"	"X"
"vasāti"	"75280"	"name of a son of Janamejaya ; name of a son of Ikṣvāku ; name of a people"	"X"
"ambaṣṭha"	"32059"	"name of a country and of its inhabitants ; name of the king of that country ; the offspring of a man of the Brāhman and a woman of the Vaisya caste (a man of the medical caste) ; an elephant-driver"	"X"
"sauvīra"	"101973"	"the fruit of the jujube ; sour gruel ; antimony ; galena"	"X"
"prācya"	"156085"	"name of a man ; (pl.) the inhabitants of the east ; the eastern country ; the ancients"	"X"
"udīcya"	"56354"	"being or living in the north"	"X"
"mālava"	"79540"	"name of a country (Malwa in central India) ; a prince of the Mālavas ; a horse-keeper ; (in music) a particular Rāga ; a white-flowering Lodhra ; name of a man"	"X"
"tanutyaj"	"96170"	"giving up one's body ; dying"	"X"
"cakrarakṣa"	"160886"	""	"X"
"pādarakṣa"	"93625"	"armed men who run by the side of an elephant in battle to protect its feet"	"X"
"dantin"	"101138"	"a mountain ; an elephant"	"X"
"madhye"	"205769"	"(ifc.) in ; (ifc.) into ; among"	"X"
"pādāta"	"93719"	"footman"	"X"
"carman"	"50713"	"hide ; skin ; bark ; parchment ; a shield ; = carmākhya ; [medic.] a kind of kuṣṭha"	"X"
"nakhara"	"43660"	"a curved knife"	"X"
"prāsa"	"153176"	"casting ; throwing ; scattering ; sprinkling ; a barbed missile or dart ; a particular constellation or position of a planet ; name of a man"	"X"
"yodhin"	"65244"	"fighting ; combating"	"X"
"gāndharva"	"130290"	"belonging to the Gandharvas"	"X"
"āsura"	"62977"	"spiritual ; divine ; belonging or devoted to evil spirits ; belonging or relating to the Asuras ; infernal ; demoniacal"	"X"
"abhibhāṣ"	"158871"	"to address ; to speak to (acc.) ; to converse with (instr.) ; to utter ; to say ; to confess"	"X"
"dharmarāja"	"92176"	"a just or righteous king ; any king or prince ; a Buddha ; name of Yudhiṣṭhira ; Law conceived as a king ; name of several authors ; name of Yama"	"X"
"saṃhan"	"164839"	"to strike together ; to join ; to close ; to make solid ; to fabricate ; to break ; to kill"	"X"
"yodhay"	"158902"	"to cause to fight ; to lead to war ; to be a match for"	"X"
"kāmam"	"13979"	"according to inclination ; agreeably to desire ; at will ; freely ; willingly ; with pleasure ; readily ; gladly ; (as a particle of assent) well ; very well ; granted ; admitted that ; indeed ; really ; surely ; well and good ; in any case ; at any rate"	"X"
"vistāray"	"168388"	"to broaden ; to strengthen"	"X"
"alpīyas"	"53921"	"smaller ; less ; very small"	"X"
"sutarām"	"107574"	"still more ; in a higher degree ; excessively"	"X"
"pratibhāṣ"	"162565"	"to speak in return or to (acc.) ; to answer ; to relate ; to tell ; to call ; to name (2 acc.)"	"X"
"acala"	"6334"	"not moving ; immovable ; firm"	"X"
"vajra"	"67909"	"a form of military array ; a kind of column or pillar ; a particular form of the moon ; a particular Ekāha ; a kind of hard mortar ; name of the 15th yoga (astron.) ; Euphorbia Antiquorum ; Asteracantha Longifolia ; name of a mountain ; name of an Asura ; [bot.] = snuhī ; Euphorbia neriifolia L. ; name of a son of Aniruddha"	"X"
"ākhyā"	"61995"	"appellation ; name ; total amount ; appearance ; aspect ; a synonym"	"X"
"vajrapāṇi"	"67991"	"name of Indra ; name of a Bodhisattva"	"X"
"uddhū"	"160240"	"to rouse up ; to shake up ; to move ; to cause to rise (dust) ; to throw upwards ; to lift up ; to kindle ; to disturb ; to excite ; to shake off ; to throw off ; to expel"	"X"
"duḥsaha"	"85081"	"difficult to be borne ; unbearable ; irresistible"	"X"
"bhīma"	"50303"	"Rumex Vesicarius ; name of Rudra-Śiva ; name of one of the 8 forms of Śiva ; name of one of the 11 Rudras ; name of a Devagandharva ; one of the Devas called Yājñamuṣ ; name of a Dānava ; name of a Vidyādhara ; name of a son of the Rākṣasa ; name of the second son of Bhīmasena and Vṛkodara ; name of several other men ; the race of Bhīma ; name of Bhīmasena ; name of a king of Vidarbha; father of Damayantī"	"X"
"mṛd"	"158891"	"to press ; to squeeze ; to crush ; to pound ; to smash ; to trample down ; to tread upon ; to destroy ; to waste ; to ravage ; to kill ; to slay ; to rub ; to stroke ; to wipe (e.g. the forehead) ; to rub into ; to mingle with (instr.) ; to rub against ; to touch ; to pass through (a constellation) ; to overcome ; to surpass"	"X"
"vicakṣaṇa"	"48024"	"conspicuous ; visible ; bright ; radiant ; splendid ; distinct ; perceptible ; clear-sighted (lit. and fig.) ; sagacious ; clever ; wise ; experienced or versed in ; familiar with ; discerning"	"X"
"sambhram"	"165586"	"to roam or wander all about ; to go quite astray ; to be greatly confused ; to be perplexed or puzzled"	"X"
"saṃśri"	"164794"	"to join together with ; to furnish with ; to join or attach one's self to ; to go for refuge or succour to ; to resort or betake one's self to ; to cling to for protection ; to seek the help of (acc.) ; to approach ; to go to any one with (instr.) ; to approach for sexual union ; to rest or depend on (acc.) ; to obtain ; to acquire ; to serve"	"X"
"prākāra"	"155917"	"a wall ; enclosure ; fence ; rampart (esp. a surrounding wall elevated on a mound of earth)"	"X"
"akutobhaya"	"5280"	"having no fear from any quarter ; secure"	"X"
"saṃkrudh"	"164866"	"to be enraged ; to be angry with (acc.)"	"X"
"vṛkodara"	"142186"	"name of Bhīma ; name of Brahmā ; a class of demons attendant on Śiva"	"X"
"viṣah"	"163632"	"to conquer ; to subdue ; to overpower ; to be a match for (acc.) ; to be able to or capable of (inf.) ; to bear ; to withstand ; to resist ; to endure ; to suffer ; to put up with"	"X"
"bhīmasena"	"50362"	"name of a Devagandharva ; name of a Yakṣa ; name of various other men ; a kind of camphor ; name of one of the heros of the Mbh ; name of a brother of Janamejaya"	"X"
"vajra"	"67908"	"a thunderbolt (esp. that of Indra) ; a diamond (thought to be as hard as the thunderbolt or of the same substance with it) ; [min.] a kind of talc ; a kind of penance (feeding for a month on only barley prepared with cow's urine) ; sour gruel ; [alchemy] = vajramūṣā ; a kind of metal ; [min.] = abhra ; [medic.] name of an antidote ; [min.] = vaikrānta ; [medic.] a kind of menstrual blood, = vajrapuṣpa ; [arch.] a kind of temple"	"X"
"car"	"156249"	"[alchemy] ; [alchemy] grās karnā ; to observer (a vow) ; (Kuh) weiden"	"X"
"śoṣay"	"158135"	"to make dry ; to dry up ; to wither ; to parch ; to afflict ; to injure ; to hurt ; to extinguish ; to destroy ; [alchemy]"	"X"
"dhṛṣṭaketu"	"43044"	"name of a king of Cedi ; name of a king of Videhā or Mithilā (son of Sudhṛti) ; name of a son of Satyadhṛti ; name of the son of Sukumāra ; name of his father ; name of a son of Dhṛṣtadyumma ; name of a king of the Kaikayas ; name of a son of Manu"	"X"
"cekitāna"	"201882"	"name of a Vṛṣṇi; fights for the Pāṇḍavas; killed by Duryodhana ; name of Śiva"	"X"
"prekṣaka"	"153959"	"a spectator ; member of an audience"	"X"
"dāyāda"	"146585"	"heir"	"X"
"bībhatsu"	"209446"	"name of Arjuna"	"X"
"stimita"	"102358"	"wet ; moist ; fixed ; motionless ; still ; calm ; tranquil ; soft ; gentle ; pleased"	"X"
"syand"	"157361"	"to run ; to flow"	"X"
"pārṣata"	"94363"	"patr. of Drupada ; patr. of Drupadas son Dhṛṣṭadyumna ; name of Śikhaṇḍin"	"X"
"nakula"	"43491"	"the Bengal mungoose or Viverra Ichneumon (enemy of mice and of serpents from whose venom it protects itself by a medic. plant) ; a son ; a particular musical instrument ; name of Śiva ; name of a son of the Aśvins and Mādrī (twin-brother of Sahadeva) ; name of a physician (author of a wk. on horses)"	"X"
"sahadeva"	"105831"	"name of a Ṛṣi ; name of a man ; name of the youngest of the five Pāṇḍava princes ; name of a son of Haryaśvata ; name of a son of Harshavardhana ; name of a son of Haryavana ; name of a son of Somalatta ; name of a son of Jārāsaṃdha ; name of a son of Divākara ; name of a son of Devāpi ; name of a son of Divārka ; name of a son of Sudāsa ; name of a son of Suprabuddha and uncle of Gautama Buddha ; name of a Rājaputra (mentioned together with Yudhishthira) ; name of an author"	"X"
"samudyojay"	"165333"	"to excite ; to animate"	"X"
"mādrī"	"78715"	"a species of plant ; name of the second wife of Pāṇḍu; mother of Nakula and Sahadeva ; name of the wife of Sahadeva ; name of the wife of Kroṣṭu ; name of the wife of Kṛṣṇa ; name of a wife of Vṛṣṇi"	"X"
"dyuti"	"90329"	"splendour (as a goddess) ; brightness ; lustre ; majesty ; dignity ; (dram.) a threatening attitude ; [gramm.] root dyut-"	"X"
"draupadeya"	"90753"	"metron. of the 5 sons of Draupadī"	"X"
"saubhadra"	"101692"	"metron. of Abhimanyu"	"X"
"prabhadraka"	"166155"	"a kind of bird ; name of a people"	"X"
"arjuna"	"53077"	"a peacock ; cutaneous disease ; Terminalia arjuna Bedd. ; name of a man ; name of Indra (who was a son of Kṛtavīrya who was slain by Paraśurāma) ; name of a Śāskya (known as a mathematician) ; name of different other persons ; the only son of his mother ; the descendants of Arjuna ; Pentaptera arjuna Roxb."	"X"
"yuyudhāna"	"64869"	"name of a son of Satyaka ; a Kṣatriya ; warrior ; name of Indra"	"X"
"mad"	"157953"	"to rejoice ; to exult ; to delight in ; to be drunk ; sich berauschen an ; sich g￼tlich tun"	"X"
"cal"	"156252"	"to be moved ; to stir ; to tremble ; to shake ; to quiver ; to be agitated ; to palpitate ; to move on or forward ; to proceed ; to go away ; to start off ; to depart ; to set (said of the day) ; to be moved from one's usual course ; to be disturbed ; to become confused or disordered ; to go astray ; to turn away from ; to swerve ; to deviate from ; to fall off"	"X"
"acala"	"6335"	"a mountain ; rock ; a bolt or pin ; the number seven ; name of Śiva and of the first of the nine deified persons ; name of a Devarshi ; name of a son of Subala"	"X"
"yajñasena"	"73101"	"name of Drupada ; name of a king of Vidarbha ; name of a Dānava ; name of Viṣṇu ; name of a man"	"X"
"virāṭa"	"135748"	"name of one of the midland or northwest districts of India ; name of an ancient king of a particular district in India ; name of Buddha"	"X"
"parākramin"	"200351"	"heroic"	"X"
"cihna"	"51888"	"a mark ; spot ; stamp ; sign ; characteristic ; symptom ; a banner ; insignia ; a zodiacal sign ; (in Gr.) aim ; direction towards"	"X"
"dhara"	"91885"	"bearing ; supporting ; ifc. holding ; bearing ; carrying ; wearing ; possessing ; having ; keeping ; sustaining ; preserving ; observing"	"X"
"samutsarpay"	"217041"	""	"X"
"abhibhū"	"158873"	"to overcome ; to overpower ; to predominate ; to conquer ; to surpass ; to overspread ; to attack ; to defeat ; to humiliate ; to approach ; to come near to (acc.) ; to be victorious or prospering in"	"X"
"kapi"	"1781"	"an ape ; monkey ; an elephant ; Emblica Officinalis ; species of Karañja ; Olibanum ; sun ; name of Viṣṇu or Kṛṣṇa ; name of several men ; name of a school ; hog-plum (Spondias Magnifera) ; Mucuna pruriens DC. ; name of a son of Durukṣaya"	"X"
"jīmūta"	"89153"	"cloud ; a mountain ; the sun ; Indra ; a nourisher ; sustainer ; Luffa faetida or a similar plant ; Cyperus rotundus ; name of a metre ; name of an ancient sage ; name of a wrestler ; name of a son of Vyoman or Vyoma ; name of Viṣṇu ; name of the Varṣa ruled by Jīmūta ; name of a son of Vapuṣmat"	"X"
"mada"	"27316"	"hilarity ; rapture ; excitement ; inspiration ; intoxication ; ardent passion for (comp.) ; sexual desire or enjoyment ; wantonness ; lust ; ruttishness ; rut (esp. of an elephant) ; pride ; arrogance ; presumption ; conceit of or about (gen. or comp.) ; any exhilarating or intoxicating drink ; spirituous liquor ; wine ; Soma ; honey ; the fluid or juice that exudes from a rutting elephant's temples ; semen virile ; musk ; any beautiful object ; a river ; name of the 7th astrol. mansion ; Intoxication or Insanity personified (as a monster created by Cyavana) ; name of a son of Brahmā ; name of a Dānava ; name of a servant of Śiva ; [alchem.] one of the malas of mercury ; [gramm.] the root mad"	"X"
"ārdra"	"59556"	"wet ; moist ; damp ; fresh ; not dry ; succulent ; green (as a plant) ; living ; fresh ; new ; soft ; tender ; full of feeling ; warm ; loose ; flaccid"	"X"
"duṣprekṣya"	"85996"	"difficult to be looked at ; disagreeable to the sight"	"X"
"raśmimālin"	"201432"	"the sun ; name of Sūrya"	"X"
"prativīkṣ"	"162635"	"to look upon ; to observe ; to perceive"	"X"
"durbhida"	"85623"	"difficult to be broken or torn asunder"	"X"
"gāṇḍīvadhanvan"	"129975"	"Arjuna"	"X"
"ajeya"	"6595"	"invincible ; name of a prince"	"X"
"udayana"	"56523"	"rise ; rising (of the sun etc.) ; way out ; outlet ; exit ; outcome ; result ; conclusion ; end ; means of redemption"	"X"
"stanayitnumat"	"202670"	"thundering"	"X"
"prāṅmukha"	"156071"	"facing eastwards ; inclined towards"	"X"
"viśṛ"	"163619"	"to be broken or shattered or dissolved ; to crumble or fall to pieces ; to waste away ; to decay ; to be scattered or dispersed ; to be severed from (abl.) ; to be damaged or destroyed ; to perish"	"X"
"niṣprabha"	"34663"	"deprived of light or radiance ; lustreless ; gloomy"	"X"
"abhyudi"	"159349"	"(said of the sun) to rise over (acc.) ; to rise ; to engage in combat with (acc.) ; to finish off at (acc.) ; to begin"	"X"
"nāda"	"33353"	"a loud sound ; roaring ; bellowing ; crying ; any sound or tone ; (in the Yoga) the nasal sound repressented by a semicircle and used as an abbreviation in mystical words ; a praiser ; a kind of samādhi ; a level of subtle sound in the uccāra of a bīja"	"X"
"prāduras"	"167914"	"to become visible ; to appear"	"X"
"dhū"	"158389"	"to shake ; to cause to tremble ; to shake off ; to liberate one's self ; to kindle (a fire) ; to treat roughly ; to hurt ; to destroy ; to resist"	"X"
"mātariśvan"	"78625"	"name of Agni or of a divine being closely connected with him (the messenger of Vivasvat) ; (doubtful for) air ; wind ; breeze ; name of Śiva ; name of a son of Garuḍa ; name of a Ṛṣi"	"X"
"kiṅkiṇī"	"23266"	"a small bell ; name of an acid sort of grape (= Vikaṅkata) ; name of a goddess Tantras"	"X"
"nah"	"158399"	"to bind ; to tie ; to fasten ; to bind on or round or together ; to put on (as armour etc.) ; to arm one's self"	"X"
"sragvat"	"114233"	"possessed of garlands ; wearing a wreath"	"X"
"rava"	"69459"	"a roar ; yell ; cry ; howl (of animals) ; song ; singing (of birds) ; hum ; humming (of bees) ; clamour ; outcry ; thunder ; talk ; any noise or sound (e.g. the whizz of a bow) ; [alchemy] cmp. ravaka ; gossip"	"X"
"jhaṇajhaṇībhūta"	"95486"	"rattling"	"X"
"nandin"	"44025"	"rejoicing ; gladdening ; delighting in ; liking"	"X"
"sraṃs"	"157549"	"to drop ; to fall down"	"X"
"majjan"	"26752"	"the marrow of bones ; scurf"	"X"
"samīka"	"103964"	"hostile encounter ; conflict ; fight ; name of a Ṛṣi ; name of a son of Sūra"	"X"
"tadānīm"	"96108"	"at that time ; then (correlative of yadā)"	"X"
"śvāpada"	"41310"	"a beast of prey ; wild beast ; a tiger ; name of a people"	"X"
"vyābhaṣ"	"200868"	""	"X"
"yuvan"	"64889"	"a youth ; young man ; young animal (in Veda often applied to gods) ; (in gram.) the younger descendant of any one (an elder being still alive) ; name of the ninth year in Jupiter's cycle of 60 years ; an elephant 60 years old ; [alchemy] = taruṇabandha"	"X"
"upayā"	"160516"	"to come up ; to come near ; to go near or towards ; to approach ; to visit ; to frequent ; to approach (a woman for sexual intercourse) ; to arrive at ; to reach ; to obtain ; to get into any state or condition ; to occur ; to befall ; to give one's self up to"	"X"
"narendra"	"44331"	"a king ; prince ; a physician ; master of charms or antidotes ; = narendradruma ; name of a poet ; name of another man ; a kind of metre ; name of a Yakṣa"	"X"
"rāji"	"70559"	"a streak ; line ; row ; range ; a line parting the hair ; the uvula or soft palate ; a striped snake ; a field ; Vernonia Anthelminthica ; [alchemy]"	"X"
"prakāśa"	"151121"	"clearness ; brightness ; splendour ; lustre ; light ; (fig.) light ; elucidation ; explanation (esp. at the end of titles of explanatory works) ; appearance ; manifestation ; expansion ; diffusion ; publicity ; fame ; renown ; glory ; the gloss on the upper part of a (horse's) body ; a chapter ; section ; name of several wks ; laughter ; name of a Brāhman (son of Tamas) ; name of Manu Raivata ; (pl.) the messengers of Viṣṇu ; [alchemy] = prakāśamūṣā"	"X"
"bṛhatī"	"149112"	"name of a particular metre ; a symbolical expression for the number 36 ; (pl.) name of particular bricks forming part of the sacrificial fire-altar ; a particular Solanum ; [medic.] name of a marman; a part of the body between the breast and backbone ; (du.) heaven and earth ; speech (a sense inferred from certain passages) ; a mantle ; wrapper ; a place containing water ; reservoir ; the lute of Nārada or Viśvāvasu ; name of two wks ; name of several women ; Solanum indicum Linn. ; Solanum xanthocarpum Schrad et Wendl. ; Solanum melongena Swartz ; Solanum torvum Swartz ; Solanum aculeatissimum Jacq. ; [medic.] name of a sirā"	"X"
"durviṣahya"	"201784"	"difficult"	"X"
"ārya"	"59604"	"behaving like an Āryan ; honourable ; respectable ; noble ; of a good family ; excellent ; wise ; suitable"	"X"
"paścānmukha"	"168397"	"facing westwards"	"X"
"śukra"	"126271"	"bright ; clear ; pure ; white ; light-coloured ; spotless ; gekl￤rt (Soma)"	"X"
"sah"	"158840"	"to be victorious ; to defeat ; to win ; to be able ; to resist ; to be lenient towards"	"X"
"kakṣyā"	"525"	"girth (of an animal) ; girdle ; enclosure of an edifice ; orbit of a planet ; scale of a balance ; an upper garment ; similarity ; equality ; effort ; exertion ; shrub yielding the black and red berry (that serves as a jeweller's weight) ; Retti or Guñja ; Abrus Precatorius ; the fingers ; [rel.] name of Devī"	"X"
"samāsthā"	"165261"	"to mount ; to ascend ; to go to ; to stop ; to halt ; to enter upon ; to undergo ; to undertake (a march) ; to assume (a form) ; to seek (a maintenance) ; to apply (assiduity) to ; to perform ; to accomplish"	"X"
"bandin"	"153519"	"a praiser ; bard ; herald (who sings the praises of a prince in his presence or accompanies an army to chant martial songs) ; = Bandi, name of a man; killed Aṣṭāvakra's father Kahoḍa"	"X"
"sārdham"	"166835"	"with ; together with"	"X"
"pā"	"157846"	"to watch ; to keep ; to protect from ; to govern ; to notice ; to follow"	"X"
"sindhu"	"106322"	"flood ; waters ; ocean ; sea ; a symbolical term for the number 4 ; name of Varuṇa (as god of the ocean) ; the moisture of the lips ; water ejected from an elephant's trunk ; the exudation from an elephant's temples ; the country around the Indus (commonly called Sindh) ; a king of Sindh (?) ; name of Viṣṇu ; white or refined borax ; (in music) a particular Rāga ; name of a king of the Gandharvas ; name of a serpent-demon ; name of various men ; coral"	"X"
"sauvīra"	"101970"	"name of a people inhabiting a district in the neighbourhood of the Indus ; (sg.) a king of the Sauvīras"	"X"
"pañcanada"	"14891"	"name of an Asura ; name of a teacher ; name of a people"	"X"
"śoṇa"	"127795"	"red ; crimson ; purple"	"X"
"rukmaratha"	"71428"	"the chariot of Rukmaratha i.e. of Droṇa ; name of Droṇa ; name of various men"	"X"
"adīna"	"7575"	"not depressed ; nobleminded"	"X"
"vārddhakṣatri"	"46712"	"patr. of Jayadratha"	"X"
"śāradvata"	"132376"	"patr. from śarad-vat g. bidādi ; name of Kṛpa ; name of Gautama ; name of a disciple of Kaṇva"	"X"
"uttaradhū"	"217043"	"name of a man"	"X"
"gautama"	"125510"	"Gautama's family ; a kind of poison ; name of a Ṛṣi ; [jain.] one of Mahāvīras pupils ; name of Kṛpa (grandson of Gotama) ; name of Śaradvat (son of Gotama) ; name of the father of Śaradvat"	"X"
"abhipā"	"158759"	"to guard ; to behold with attention"	"X"
"andhaka"	"20360"	"name of an Asura (son of Kaśyapa and Diti) ; name of a descendant of Yadu and ancestor of Kṛṣṇa and his descendants ; name of a Muni ; coriander ; name of a people"	"X"
"vṛṣṇi"	"142902"	"a ram ; a bull ; a ray of light ; air ; wind ; name of Śiva ; name of Viṣṇu-Kṛṣṇa ; name of Indra ; name of Agni ; name of various kings ; name of a tribe or family (from which Kṛṣṇa is descended)"	"X"
"saurāṣṭraka"	"212290"	"an inhabitant of Surat"	"X"
"ādā"	"159774"	"to take ; to accept ; to receive from ; to seize ; to take away ; to carry off ; to rob ; to take back ; to reclaim ; to take off or out from (abl.) ; to separate from (abl.) ; to take or carry away with one's self ; to grasp ; to take or catch hold of ; to put on (clothes) ; to take as food or drink  19 ; to keep sth."	"X"
"abhigup"	"174548"	"to guard ; to protect"	"X"
"dakṣiṇatas"	"100613"	"from the right or south ; on the right side or southward from (gen.)"	"X"
"saṃśaptaka"	"8175"	"a soldier or warrior sworn with others not to fly or give up fighting (till some object is gained) ; one bound by an oath to kill others (a band of conspirators or confederates such as Trigarta and his brothers who had sworn to kill Arjuna but were killed themselves)"	"X"
"yena"	"205955"	"because ; where ; how"	"X"
"tena"	"205731"	"therefore ; there ; in this way ; afterwards"	"X"
"sāgra"	"111894"	"with the tip or point ; whole ; entire ; having a surplus ; more than"	"X"
"dhānuṣka"	"42479"	"bowman"	"X"
"carmin"	"50719"	"Musa sapientum ; name of an attendant of Śiva ; name of a man ; a shield-bearer"	"X"
"divasa"	"146892"	"heaven ; a day"	"X"
"ogha"	"40052"	"flood ; stream ; rapid flow of water ; heap or quantity ; flock ; multitude ; abundance ; quick time (in music) ; uninterrupted tradition ; instruction ; [Sāṃkhya] one of the nine tuṣṭis"	"X"
"pratyaṅmukha"	"140402"	"having the face turned away or westward"	"X"
"duṣpradhṛṣya"	"217042"	"difficult to attack"	"X"
"netṛ"	"29021"	"bringer ; offerer ; leader ; guide ; conductor ; inflicter of punishment ; the leader or chief of an army ; name of Viṣṇu ; the hero of a drama ; a master ; owner ; the numeral 2 ; Azadirachta Indica ; Vitex negundo"	"X"
"samudyam"	"165331"	"to lift up ; to rein in ; to curb ; to restrain ; to drive (horses etc.)"	"X"
"viṣāda"	"139468"	"drooping state ; languor ; lassitude ; dejection ; depression ; despondency (esp. as the result of unrequited love) ; disappointment ; despair (one of the Vyabhicāras) ; aversion ; disgust ; fear ; weakness ; dulness ; stupidity ; insensibility"	"X"
"abhedya"	"31285"	"not to be divided or broken or pierced ; indivisible ; not to be betrayed (as a secret formula)"	"X"
"kalpay"	"156177"	"to form ; to prescribe ; to bring into order"	"X"
"viṣad"	"163631"	"to be exhausted or dejected ; to despond ; to despair ; to sink down ; to be immersed in"	"X"
"yoddhṛ"	"64873"	"a fighter ; warrior ; soldier"	"X"
"karśin"	"206326"	""	"X"
"karśana"	"12415"	"rendering lean ; attenuating ; causing emaciation ; troubling ; hurting"	"X"
"udyāna"	"56903"	"the act of going out ; walking out ; a park ; garden ; royal garden ; purpose ; motive ; name of a country in the north of India"	"X"
"abhisamprekṣ"	"159159"	"to look at ; to perceive"	"X"
"abhyadhika"	"31313"	"surpassing ; exceeding the common measure ; pre-eminent ; extraordinary ; superior to ; more excellent than ; having more authority or power than ; more than (abl. or instr. or in comp.) ; augmented by (abl. or instr. or in comp.)"	"X"
"alpatara"	"53840"	"smaller ; fewer"	"X"
"kāraṇa"	"14116"	"cause ; reason ; the cause of anything ; instrument ; means ; motive ; principle ; a cause ; an element ; elementary matter ; the origin or plot of a play or poem ; that on which an opinion or judgment is founded ; an organ of sense ; an action ; agency ; instrumentality ; condition ; a father ; a deity ; the body ; a kind of musical instrument ; a sort of song ; a number of scribes or Kāyasthas ; origin ; a legal instrument"	"X"
"anasūyu"	"10183"	"not spiteful or envious"	"X"
"devāsura"	"176476"	"the war of Devas and Asuras"	"X"
"divaukas"	"147086"	"a deity ; planet ; the Cātaka ; a deer ; a bee ; an elephant"	"X"
"jigīṣu"	"88931"	"wishing to obtain or gain ; seeking for ; striving to conquer or excel ; ambitious"	"X"
"ānṛśaṃsya"	"58492"	"absence of cruelty or harm ; kindness ; mercy ; compassion ; benevolence"	"X"
"udyama"	"56894"	"the act of raising or lifting up ; elevation ; undertaking ; beginning ; the act of striving after ; exerting one's self ; exertion ; strenuous and continued effort ; perseverance ; diligence ; zeal"	"X"
"moha"	"72510"	"loss of consciousness ; bewilderment ; perplexity ; distraction ; infatuation ; delusion ; error ; folly ; fainting ; stupefaction ; a swoon ; (in phil.) darkness or delusion of mind (preventing the discernment of truth and leading men to believe in the reality of worldly objects) ; (with Buddhists) ignorance (one of the three roots of vice) ; a magical art employed to bewilder an enemy ; wonder ; Infatuation personified (as the offspring of Brahmā)"	"X"
"anahaṃkāra"	"10187"	"free from self-conceit"	"X"
"anvi"	"158332"	"to go after or alongside ; to follow ; to seek ; to be guided by ; to fall to one's share ; to imitate"	"X"
"mādhava"	"78721"	"spring ; Bassia Latifolia ; Phaseolus Mungo ; a son or descendant of Madhu ; a man of the race of Yadu (esp. name of Kṛṣṇa-Viṣṇu or of Paraśurāma as an incarnation of this god) ; name of the second month of spring (more usually called Vaiśākha) ; name of Śiva ; name of Indra ; name of a son of the third Manu ; name of one of the 7 sages under Manu Bhautya ; name of the hero of Bhavabhūti's drama Mālatīmādhava ; name of various other men ; name of various scholars and poets ; name of Kṛṣṇa ; name of a swindler; friend of Śiva"	"X"
"saṃnati"	"17794"	"bending down ; depression ; lowness ; inclination ; leaning towards ; favour ; complaisance towards (gen.) ; name of verses expressing favour or respect ; subjection or submission to ; humility towards ; Humility personified (as a daughter of Devala and wife of Brahmadatta or as a daughter of Dakṣa and wife of Kratu) ; diminishing ; lightening (of a burden) ; sound ; noise"	"X"
"nirvyatha"	"34505"	"free from pain ; quiet ; calm"	"X"
"sanātanatama"	"17416"	"name of Viṣṇu"	"X"
"akuṇṭha"	"5276"	"not blunted ; not worn out ; vigorous ; fixed ; ever fresh ; eternal"	"X"
"sāyaka"	"112912"	"a missile ; arrow ; a symbolical expression for the number \"five\" (from the 5 arrows of the god of love) ; a sword ; the latitude of the sky ; Saccharum Sara ; name of a man"	"X"
"avasphūrj"	"159661"	"to thunder ; to make a noise like a thunder-clap ; to snort ; to fill with noise"	"X"
"vyathā"	"118868"	"agitation ; perturbation ; alarm ; uneasiness ; pain ; anguish ; fear ; loss ; damage ; ill-luck ; palpitation ; throbbing of the heart"	"X"
"āśās"	"159978"	"to desire ; to wish ; to ask ; to pray for ; to hope ; to expect ; to instruct ; to order ; to command ; to subdue"	"X"
"viśvabhuj"	"139320"	"name of Indra ; name of a son of lunar ; name of a fire ; name of a class of deceased ancestors ; name of Śiva ; [rel.] name of Viṣṇu"	"X"
